Frequency	actual-text	markov-0	markov-1	markov-2	markov-3	markov-4	markov-5	bubble-babble	bodo-dave	base26	base26-enhanced	base26-asparsity	fnv-base26
a	0.099720	0.085580	0.098285	0.091863	0.096225	0.096327	0.081571	0.064104	0.027501	0.045773	0.025756	0.060394	0.050166
b	0.021546	0.015664	0.015054	0.017797	0.020264	0.026220	0.032565	0.109415	0.035964	0.045772	0.015938	0.041982	0.050246
c	0.036651	0.032789	0.040072	0.040509	0.040830	0.041920	0.042537	0.032493	0.035968	0.045772	0.023440	0.040454	0.050199
d	0.033770	0.042537	0.026235	0.031686	0.028248	0.029795	0.030397	0.032493	0.035966	0.045772	0.023440	0.031467	0.050129
e	0.104079	0.118768	0.113946	0.097763	0.097382	0.093665	0.086008	0.102566	0.035967	0.045772	0.149069	0.045873	0.050140
f	0.012862	0.022173	0.015568	0.017241	0.016642	0.018700	0.022440	0.029051	0.035952	0.045772	0.014801	0.031476	0.050108
g	0.026050	0.020703	0.018853	0.021909	0.021169	0.023723	0.027016	0.027918	0.035953	0.045772	0.019244	0.035476	0.050135
h	0.030854	0.045159	0.043020	0.032746	0.031434	0.032671	0.031783	0.027918	0.035953	0.045772	0.023110	0.041712	0.041206
i	0.080811	0.074125	0.094469	0.110293	0.092628	0.079843	0.071671	0.102566	0.035951	0.045772	0.024897	0.056806	0.034342
j	0.004052	0.002746	0.002376	0.002942	0.002887	0.006377	0.012805	0.000000	0.035952	0.045772	0.014789	0.031467	0.034206
k	0.020202	0.008196	0.008172	0.009236	0.011556	0.015255	0.019131	0.027918	0.035952	0.045772	0.015938	0.037937	0.034202
l	0.053585	0.040594	0.045834	0.046821	0.050506	0.049567	0.049427	0.027918	0.035953	0.045750	0.023441	0.035477	0.033917
m	0.031513	0.025497	0.027840	0.032154	0.034036	0.034858	0.037413	0.027918	0.035951	0.045748	0.024547	0.035510	0.033487
n	0.072040	0.071875	0.074349	0.062887	0.064623	0.058937	0.053756	0.027918	0.035953	0.045748	0.024897	0.045117	0.033690
o	0.065408	0.073281	0.080250	0.068589	0.067329	0.064531	0.059249	0.102564	0.035951	0.040423	0.023440	0.041574	0.033750
p	0.022433	0.022544	0.022995	0.026485	0.027013	0.028373	0.032695	0.027918	0.035954	0.029526	0.014801	0.031887	0.033601
q	0.001833	0.001327	0.001305	0.001314	0.001757	0.005103	0.010565	0.000000	0.035951	0.029192	0.365645	0.031621	0.033617
r	0.071676	0.064867	0.071983	0.071939	0.079317	0.071841	0.065468	0.027918	0.035953	0.028902	0.023615	0.040765	0.033686
s	0.069566	0.068002	0.049574	0.053472	0.057057	0.058827	0.053942	0.027918	0.035951	0.028902	0.025714	0.040026	0.033598
t	0.057350	0.086956	0.074879	0.083681	0.081588	0.067448	0.054904	0.027917	0.035347	0.028902	0.024896	0.031473	0.033657
u	0.034181	0.027004	0.035798	0.036756	0.036170	0.037263	0.041926	0.064097	0.027843	0.028902	0.023440	0.036627	0.033662
v	0.012540	0.011066	0.014892	0.015835	0.012166	0.016718	0.020257	0.027916	0.027844	0.028902	0.015938	0.035482	0.033634
w	0.010530	0.018022	0.013835	0.014647	0.015617	0.016294	0.020337	0.000000	0.027573	0.028902	0.014808	0.031482	0.033645
x	0.002284	0.002171	0.002769	0.002005	0.001739	0.004921	0.011068	0.000000	0.027500	0.028902	0.014793	0.035566	0.033645
y	0.016763	0.016802	0.005757	0.006441	0.007879	0.012262	0.016361	0.025641	0.032317	0.028902	0.014801	0.036854	0.033720
z	0.007701	0.001551	0.001890	0.002989	0.003939	0.008559	0.014709	0.027916	0.146880	0.028902	0.014801	0.035492	0.033611
